time|simcarPos|simcarHeading|simcarFracIndex|simcarSpeed|simcarRoadIndex|eyeLocationX|eyeLocationY|nearPoint|farPoint|carPoint|steerAngle|accelerator|brake|autocarPos|autocarHeading|autocarFracIndex|autocarSpeed|currentspeed|imaginedSpeedlimit|lanepos|followedLane|visAttention|turning|block|signVis
0.00|(101.44,.00)|(1.00,-.00)|100.44401667005414|9.2296718439957|100|0|0|(111.44,.00)|(138.36,.00)|(121.00,.00)|0.00|0.00|0.00|(121.44,.00)|(1.00,.00)|120.44401667005414|9.2296718439957|0|null|2.50011965782012|0|null|false|0|false
0.05|(101.88,.00)|(1.00,-.00)|100.88325433227538|9.13408211256151|100|0|0|(111.88,.00)|(138.42,.00)|(121.44,.00)|0.00|0.00|0.00|(121.88,.00)|(1.00,.00)|120.88325433227538|9.13408211256151|0|null|2.5002496613003835|0|null|false|0|false
0.10|(102.32,.00)|(1.00,.00)|101.317716307145|9.038543370306952|101|0|0|(112.32,.00)|(138.47,.00)|(121.88,.00)|0.00|0.00|0.00|(122.32,.00)|(1.00,.00)|121.317716307145|9.038543370306952|0|null|2.5002992680316796|0|null|false|0|false
0.15|(102.75,.00)|(1.00,.00)|101.74740490659866|8.943056123156225|101|0|0|(112.75,.00)|(138.52,.00)|(122.32,.00)|0.00|0.00|0.00|(122.75,.00)|(1.00,.00)|121.74740490659866|8.943056123156225|0|null|2.500507050957787|0|null|false|0|false
0.20|(103.17,.00)|(1.00,.00)|102.17232440328395|8.84762089952383|102|0|0|(113.17,.00)|(138.56,.00)|(122.75,.00)|0.00|0.00|0.00|(123.17,.00)|(1.00,.00)|122.17232440328395|8.84762089952383|0|null|2.500668025158263|0|null|false|0|false
0.25|(103.59,.00)|(1.00,.00)|102.59247566447885|8.752238251247398|102|0|0|(113.59,.00)|(138.60,.00)|(123.17,.00)|0.00|0.00|0.00|(123.59,.00)|(1.00,.00)|122.59247566447885|8.752238251247398|0|null|2.5008642829748498|0|null|false|0|false
0.30|(104.01,.00)|(1.00,.00)|103.0128810976361|8.684242679962217|103|0|0|(114.01,.00)|(138.75,.00)|(123.59,.00)|0.00|0.05|0.00|(124.01,.00)|(1.00,.00)|123.0128810976361|8.684242679962217|0|null|2.501138159171953|0|null|false|0|false
0.35|(104.43,.01)|(1.00,.00)|103.42993018560368|8.616494491530933|103|0|0|(114.43,.00)|(138.90,.00)|(124.01,.00)|0.00|0.05|0.00|(124.43,.00)|(1.00,.00)|123.42993018560368|8.616494491530933|0|null|2.5013675249474523|0|null|false|0|false
0.40|(104.84,.01)|(1.00,.00)|103.84363428650433|8.54899630721044|103|0|0|(114.84,.00)|(139.04,.00)|(124.43,.00)|0.00|0.05|0.00|(124.84,.00)|(1.00,.00)|123.84363428650433|8.54899630721044|0|null|2.5016885806511806|0|null|false|0|false
0.45|(105.25,.01)|(1.00,.00)|104.25400764167564|8.481750783095094|104|0|0|(115.25,.00)|(139.18,.00)|(124.84,.00)|0.00|0.05|0.00|(125.25,.00)|(1.00,.00)|124.25400764167564|8.481750783095094|0|null|2.5019939918165783|0|null|false|0|false
0.50|(105.66,.01)|(1.00,.00)|104.66106257247166|8.41476061027845|104|0|0|(115.66,.00)|(139.32,.00)|(125.25,.00)|0.00|0.05|0.00|(125.66,.00)|(1.00,.00)|124.66106257247166|8.41476061027845|0|null|2.502329103504139|0|null|false|0|false
0.55|(106.06,.01)|(1.00,.00)|105.06481181897618|8.348028514996795|105|0|0|(116.06,.00)|(139.46,.00)|(125.66,.00)|0.00|0.05|0.00|(126.06,.00)|(1.00,.00)|125.06481181897618|8.348028514996795|0|null|2.50270880629566|0|null|false|0|false
0.60|(106.47,.01)|(1.00,.00)|105.46526991044779|8.28155725875323|105|0|0|(116.47,.00)|(139.59,.00)|(126.06,.00)|0.00|0.05|0.00|(126.47,.00)|(1.00,.00)|125.46526991044779|8.28155725875323|0|null|2.503060980267734|0|null|false|0|false
0.65|(106.86,.01)|(1.00,.00)|105.86244886916228|8.215349638420971|105|0|0|(116.86,.00)|(139.72,.00)|(126.47,.00)|0.00|0.05|0.00|(126.86,.00)|(1.00,.00)|125.86244886916228|8.215349638420971|0|null|2.5034895161311095|0|null|false|0|false
0.70|(107.26,.01)|(1.00,.00)|106.25636443377296|8.14940848632446|106|0|0|(117.26,.00)|(139.85,.00)|(126.86,.00)|0.00|0.05|0.00|(127.26,.00)|(1.00,.00)|126.25636443377296|8.14940848632446|0|null|2.503871551156267|0|null|false|0|false
0.75|(107.65,.02)|(1.00,.00)|106.64702873820528|8.083736670296867|106|0|0|(117.65,.00)|(139.98,.00)|(127.26,.00)|0.00|0.05|0.00|(127.65,.00)|(1.00,.00)|126.64702873820528|8.083736670296867|0|null|2.5043216540072892|0|null|false|0|false
0.80|(108.03,.02)|(1.00,.00)|107.03445728128321|8.01833709371246|107|0|0|(118.03,.00)|(140.11,.00)|(127.65,.00)|0.00|0.05|0.00|(128.03,.00)|(1.00,.00)|127.03445728128321|8.01833709371246|0|null|2.5047434915176936|0|null|false|0|false
0.85|(108.42,.02)|(1.00,.00)|107.41866322948161|7.953212695492284|107|0|0|(118.42,.00)|(140.23,.00)|(128.03,.00)|0.00|0.05|0.00|(128.42,.00)|(1.00,.00)|127.41866322948161|7.953212695492284|0|null|2.505192287018018|0|null|false|0|false
0.90|(108.80,.02)|(1.00,.00)|107.79966063573707|7.888366450081499|107|0|0|(118.80,.00)|(140.35,.00)|(128.42,.00)|0.00|0.05|0.00|(128.80,.00)|(1.00,.00)|127.79966063573707|7.888366450081499|0|null|2.505661490457466|0|null|false|0|false
0.95|(109.18,.02)|(1.00,.00)|108.17746448466997|7.823801367396704|108|0|0|(119.18,.00)|(140.47,.00)|(128.80,.00)|0.00|0.05|0.00|(129.18,.00)|(1.00,.00)|128.17746448466997|7.823801367396704|0|null|2.5060868378312375|0|null|false|0|false
1.00|(109.55,.02)|(1.00,.00)|108.55208563489606|7.759520492741469|108|0|0|(119.55,.00)|(140.59,.00)|(129.18,.00)|0.00|0.05|0.00|(129.55,.00)|(1.00,.00)|128.55208563489606|7.759520492741469|0|null|2.5066164335532317|0|null|false|0|false
1.05|(109.92,.03)|(1.00,.01)|108.92354091694402|7.695526906688252|108|0|0|(119.92,.00)|(140.71,.00)|(129.55,.00)|0.00|0.05|0.00|(129.92,.00)|(1.00,.00)|128.92354091694403|7.695526906688252|0|null|2.5069860266971924|0|null|false|0|false
1.10|(110.29,.03)|(1.00,.00)|109.29183232510374|7.631823724924804|109|0|0|(120.29,.00)|(140.82,.00)|(129.92,.00)|0.00|0.05|0.00|(130.29,.00)|(1.00,.00)|129.29183232510374|7.631823724924804|0|null|2.507611899539031|0|null|false|0|false
1.15|(110.66,.03)|(1.00,.01)|109.65697245797575|7.568414098063118|109|0|0|(120.66,.00)|(140.93,.00)|(130.29,.00)|0.00|0.05|0.00|(130.66,.00)|(1.00,.00)|129.65697245797577|7.568414098063118|0|null|2.507855734781387|0|null|false|0|false
1.20|(111.04,.03)|(1.00,.00)|110.03891066263766|7.617836238522574|110|0|0|(121.04,.00)|(141.51,.00)|(130.66,.00)|0.00|0.25|0.00|(131.04,.00)|(1.00,.00)|130.03891066263765|7.617836238522574|0|null|2.5088068586757326|0|null|false|0|false
1.25|(111.42,.03)|(1.00,.01)|110.42312234162225|7.666325712155312|110|0|0|(121.42,.00)|(142.09,.00)|(131.04,.00)|0.00|0.25|0.00|(131.42,.00)|(1.00,.00)|130.42312234162225|7.666325712155312|0|null|2.508698916102037|0|null|false|0|false
1.30|(111.81,.04)|(1.00,.00)|110.80954676074904|7.713911168411497|110|0|0|(121.81,.00)|(142.67,.00)|(131.42,.00)|0.00|0.25|0.00|(131.81,.00)|(1.00,.00)|130.80954676074904|7.713911168411497|0|null|2.509890532906684|0|null|false|0|false
1.35|(112.20,.04)|(1.00,.01)|111.19823928763067|7.760619908805713|111|0|0|(122.20,.00)|(143.24,.00)|(131.81,.00)|0.00|0.25|0.00|(132.20,.00)|(1.00,.00)|131.19823928763066|7.760619908805713|0|null|2.5097086238828488|0|null|false|0|false
1.40|(112.59,.04)|(1.00,.00)|111.58916200563212|7.806477973639112|111|0|0|(122.59,.00)|(143.82,.00)|(132.20,.00)|0.00|0.25|0.00|(132.59,.00)|(1.00,.00)|131.58916200563212|7.806477973639112|0|null|2.51081505400516|0|null|false|0|false
1.45|(112.98,.04)|(1.00,.01)|111.98233043794558|7.851510221681425|111|0|0|(122.98,.00)|(144.39,.00)|(132.59,.00)|0.00|0.25|0.00|(132.98,.00)|(1.00,.00)|131.98233043794556|7.851510221681425|0|null|2.510972216399832|0|null|false|0|false
1.50|(113.38,.04)|(1.00,.01)|112.37763565459295|7.89574040349889|112|0|0|(123.38,.00)|(144.96,.00)|(132.98,.00)|0.00|0.25|0.00|(133.38,.00)|(1.00,.00)|132.37763565459295|7.89574040349889|0|null|2.511574848758851|0|null|false|0|false
1.55|(113.78,.05)|(1.00,.00)|112.78211513090527|7.980888595361047|112|0|0|(123.78,.00)|(145.71,.00)|(133.38,.00)|0.00|0.33|0.00|(133.78,.00)|(1.00,.00)|132.78211513090525|7.980888595361047|0|null|2.5124198588881157|0|null|false|0|false
1.60|(114.19,.05)|(1.00,.01)|113.1904717867369|8.064137117493457|113|0|0|(124.19,.00)|(146.45,.00)|(133.78,.00)|0.00|0.33|0.00|(134.19,.00)|(1.00,.00)|133.1904717867369|8.064137117493457|0|null|2.512415037254133|0|null|false|0|false
1.65|(114.60,.05)|(1.00,.00)|113.60265110399544|8.145564972323626|113|0|0|(124.60,.00)|(147.18,.00)|(134.19,.00)|0.00|0.33|0.00|(134.60,.00)|(1.00,.00)|133.60265110399544|8.145564972323626|0|null|2.513639609973827|0|null|false|0|false
1.70|(115.02,.05)|(1.00,.01)|114.01869630275087|8.225245983168863|114|0|0|(125.02,.00)|(147.92,.00)|(134.60,.00)|0.00|0.33|0.00|(135.02,.00)|(1.00,.00)|134.01869630275087|8.225245983168863|0|null|2.5137348971481144|0|null|false|0|false
1.75|(115.44,.05)|(1.00,.01)|114.43848295870774|8.303249256878098|114|0|0|(125.44,.00)|(148.65,.00)|(135.02,.00)|0.00|0.33|0.00|(135.44,.00)|(1.00,.00)|134.43848295870774|8.303249256878098|0|null|2.5145544449500985|0|null|false|0|false
1.80|(115.86,.06)|(1.00,.00)|114.86189902619657|8.37963959465737|114|0|0|(125.86,.00)|(149.38,.00)|(135.44,.00)|0.00|0.33|0.00|(135.86,.00)|(1.00,.00)|134.86189902619657|8.37963959465737|0|null|2.5152608604549305|0|null|false|0|false
1.85|(116.29,.06)|(1.00,.01)|115.28886160631006|8.454477858001678|115|0|0|(126.29,.00)|(150.11,.00)|(135.86,.00)|0.00|0.33|0.00|(136.29,.00)|(1.00,.00)|135.28886160631006|8.454477858001678|0|null|2.5156527361372856|0|null|false|0|false
1.90|(116.73,.06)|(1.00,.00)|115.72590794733318|8.566743573847162|115|0|0|(126.73,.00)|(150.99,.00)|(136.29,.00)|0.00|0.40|0.00|(136.73,.00)|(1.00,.00)|135.72590794733318|8.566743573847162|0|null|2.516584761042407|0|null|false|0|false
1.95|(117.17,.06)|(1.00,.01)|116.16814312417073|8.676329884239596|116|0|0|(127.17,.00)|(151.87,.00)|(136.73,.00)|0.00|0.40|0.00|(137.17,.00)|(1.00,.00)|136.16814312417074|8.676329884239596|0|null|2.517154253084688|0|null|false|0|false
2.00|(117.62,.07)|(1.00,.01)|116.61542983696478|8.783363851416336|116|0|0|(127.62,.00)|(152.75,.00)|(137.17,.00)|0.00|0.40|0.00|(137.62,.00)|(1.00,.00)|136.61542983696478|8.783363851416336|0|null|2.517835961239726|0|null|false|0|false
2.05|(118.07,.07)|(1.00,.01)|117.06765534514012|8.887962966532484|117|0|0|(128.07,.00)|(153.62,.00)|(137.62,.00)|0.00|0.40|0.00|(138.07,.00)|(1.00,.00)|137.0676553451401|8.887962966532484|0|null|2.5186593913037765|0|null|false|0|false
2.10|(118.52,.07)|(1.00,.01)|117.52472464996677|8.990236129259669|117|0|0|(128.52,.00)|(154.49,.00)|(138.07,.00)|0.00|0.40|0.00|(138.52,.00)|(1.00,.00)|137.52472464996677|8.990236129259669|0|null|2.519365586448652|0|null|false|0|false
2.15|(118.99,.07)|(1.00,.01)|117.98653218207126|9.090284502099742|117|0|0|(128.99,.00)|(155.35,.00)|(138.52,.00)|0.00|0.40|0.00|(138.99,.00)|(1.00,.00)|137.98653218207124|9.090284502099742|0|null|2.5201451521058114|0|null|false|0|false
2.20|(119.45,.08)|(1.00,.01)|118.45298176819954|9.1882022584636|118|0|0|(129.45,.00)|(156.21,.00)|(138.99,.00)|0.00|0.40|0.00|(139.45,.00)|(1.00,.00)|138.45298176819955|9.1882022584636|0|null|2.520978128536255|0|null|false|0|false
2.25|(119.92,.08)|(1.00,.01)|118.92398316512505|9.284077240232728|118|0|0|(129.92,.00)|(157.06,.00)|(139.45,.00)|0.00|0.40|0.00|(139.92,.00)|(1.00,.00)|138.92398316512504|9.284077240232728|0|null|2.5217960286439967|0|null|false|0|false
2.30|(120.40,.08)|(1.00,.01)|119.39944633434943|9.377991537843874|119|0|0|(130.40,.00)|(157.91,.00)|(139.92,.00)|0.00|0.40|0.00|(140.40,.00)|(1.00,.00)|139.39944633434942|9.377991537843874|0|null|2.5226455112193324|0|null|false|0|false
2.35|(120.89,.09)|(1.00,.01)|119.88691247156146|9.515203128089741|119|0|0|(130.89,.00)|(158.95,.00)|(140.40,.00)|0.00|0.50|0.00|(140.89,.00)|(1.00,.00)|139.88691247156146|9.515203128089741|0|null|2.523543151275447|0|null|false|0|false
2.40|(121.38,.09)|(1.00,.01)|120.38069085683385|9.649107475677884|120|0|0|(131.38,.00)|(159.98,.00)|(140.89,.00)|0.00|0.50|0.00|(141.38,.00)|(1.00,.00)|140.38069085683384|9.649107475677884|0|null|2.5244582249463|0|null|false|0|false
2.45|(121.88,.09)|(1.00,.01)|120.8806421786245|9.779869891649584|120|0|0|(131.88,.00)|(161.00,.00)|(141.38,.00)|0.00|0.50|0.00|(141.88,.00)|(1.00,.00)|140.8806421786245|9.779869891649584|0|null|2.525394742715664|0|null|false|0|false
2.50|(122.39,.10)|(1.00,.01)|121.38663343392457|9.907642501855573|121|0|0|(132.39,.00)|(162.02,.00)|(141.88,.00)|0.00|0.50|0.00|(142.39,.00)|(1.00,.00)|141.38663343392457|9.907642501855573|0|null|2.526355759293138|0|null|false|0|false
